Mod:Item:MetaData, Localized Name
chisel:blockaluminum:0, Алюминиевый блок
chisel:blockaluminum:1, Алюминиевый блок
chisel:blockaluminum:2, Алюминиевый блок
chisel:blockaluminum:3, Алюминиевый блок
chisel:blockaluminum:4, Алюминиевый блок
chisel:blockaluminum:5, Алюминиевый блок
chisel:blockaluminum:6, Алюминиевый блок
chisel:andesite:0, Андезит
chisel:andesite:1, Андезит
chisel:andesite:2, Андезит
chisel:andesite:3, Андезит
chisel:andesite:4, Андезит
chisel:andesite:5, Андезит
chisel:andesite:6, Андезит
chisel:andesite:7, Андезит
chisel:andesite:8, Андезит
chisel:andesite:9, Андезит
chisel:andesite:10, Андезит
chisel:andesite:11, Андезит
chisel:andesite:12, Андезит
chisel:andesite:13, Андезит
chisel:andesite:14, Андезит
chisel:andesite:15, Андезит
chisel:andesite1:0, Андезит
chisel:andesite1:1, Андезит
chisel:andesite1:2, Андезит
chisel:andesite1:3, Андезит
chisel:andesite1:4, Андезит
chisel:andesite1:5, Андезит
chisel:andesite1:6, Андезит
chisel:andesite1:7, Андезит
chisel:andesite1:8, Андезит
chisel:andesite1:9, Андезит
chisel:andesite1:10, Андезит
chisel:andesite1:11, Андезит
chisel:andesite1:12, Андезит
chisel:andesite1:13, Андезит
chisel:andesite1:14, Андезит
chisel:andesite1:15, Андезит
chisel:andesite2:0, Андезит
chisel:antiblock:0, Анти-блок
chisel:antiblock:1, Анти-блок
chisel:antiblock:2, Анти-блок
chisel:antiblock:3, Анти-блок
chisel:antiblock:4, Анти-блок
chisel:antiblock:5, Анти-блок
chisel:antiblock:6, Анти-блок
chisel:antiblock:7, Анти-блок
chisel:antiblock:8, Анти-блок
chisel:antiblock:9, Анти-блок
chisel:antiblock:10, Анти-блок
chisel:antiblock:11, Анти-блок
chisel:antiblock:12, Анти-блок
chisel:antiblock:13, Анти-блок
chisel:antiblock:14, Анти-блок
chisel:antiblock:15, Анти-блок
chisel:basalt:0, Базальт
chisel:basalt:1, Базальт
chisel:basalt:2, Базальт
chisel:basalt:3, Базальт
chisel:basalt:4, Базальт
chisel:basalt:5, Базальт
chisel:basalt:6, Базальт
chisel:basalt:7, Базальт
chisel:basalt:8, Базальт
chisel:basalt:9, Базальт
chisel:basalt:10, Базальт
chisel:basalt:11, Базальт
chisel:basalt:12, Базальт
chisel:basalt:13, Базальт
chisel:basalt:14, Базальт
chisel:basalt:15, Базальт
chisel:basalt1:0, Базальт
chisel:basalt1:1, Базальт
chisel:basalt1:2, Базальт
chisel:basalt1:3, Базальт
chisel:basalt1:4, Базальт
chisel:basalt1:5, Базальт
chisel:basalt1:6, Базальт
chisel:basalt1:7, Базальт
chisel:basalt1:8, Базальт
chisel:basalt1:9, Базальт
chisel:basalt2:0, Базальт
chisel:basalt2:1, Базальт
chisel:basalt2:2, Базальт
chisel:basalt2:3, Базальт
chisel:basalt2:4, Базальт
chisel:basalt2:5, Базальт
chisel:basalt2:6, Базальт
chisel:basalt2:7, Базальт
chisel:bookshelf_oak:0, Oak Bookshelf
chisel:bookshelf_oak:1, Oak Bookshelf
chisel:bookshelf_oak:2, Oak Bookshelf
chisel:bookshelf_oak:3, Oak Bookshelf
chisel:bookshelf_oak:4, Oak Bookshelf
chisel:bookshelf_oak:5, Oak Bookshelf
chisel:bookshelf_oak:6, Oak Bookshelf
chisel:bookshelf_oak:7, Oak Bookshelf
chisel:bookshelf_oak:8, Oak Bookshelf
chisel:bookshelf_oak:9, Oak Bookshelf
chisel:bookshelf_spruce:0, Еловая книжная полка
chisel:bookshelf_spruce:1, Еловая книжная полка
chisel:bookshelf_spruce:2, Еловая книжная полка
chisel:bookshelf_spruce:3, Еловая книжная полка
chisel:bookshelf_spruce:4, Еловая книжная полка
chisel:bookshelf_spruce:5, Еловая книжная полка
chisel:bookshelf_spruce:6, Еловая книжная полка
chisel:bookshelf_spruce:7, Еловая книжная полка
chisel:bookshelf_spruce:8, Еловая книжная полка
chisel:bookshelf_spruce:9, Еловая книжная полка
chisel:bookshelf_birch:0, Берёзовая книжная полка
chisel:bookshelf_birch:1, Берёзовая книжная полка
chisel:bookshelf_birch:2, Берёзовая книжная полка
chisel:bookshelf_birch:3, Берёзовая книжная полка
chisel:bookshelf_birch:4, Берёзовая книжная полка
chisel:bookshelf_birch:5, Берёзовая книжная полка
chisel:bookshelf_birch:6, Берёзовая книжная полка
chisel:bookshelf_birch:7, Берёзовая книжная полка
chisel:bookshelf_birch:8, Берёзовая книжная полка
chisel:bookshelf_birch:9, Берёзовая книжная полка
chisel:bookshelf_jungle:0, Книжная полка из тропического дерева
chisel:bookshelf_jungle:1, Книжная полка из тропического дерева
chisel:bookshelf_jungle:2, Книжная полка из тропического дерева
chisel:bookshelf_jungle:3, Книжная полка из тропического дерева
chisel:bookshelf_jungle:4, Книжная полка из тропического дерева
chisel:bookshelf_jungle:5, Книжная полка из тропического дерева
chisel:bookshelf_jungle:6, Книжная полка из тропического дерева
chisel:bookshelf_jungle:7, Книжная полка из тропического дерева
chisel:bookshelf_jungle:8, Книжная полка из тропического дерева
chisel:bookshelf_jungle:9, Книжная полка из тропического дерева
chisel:bookshelf_acacia:0, Акациевая книжная полка
chisel:bookshelf_acacia:1, Акациевая книжная полка
chisel:bookshelf_acacia:2, Акациевая книжная полка
chisel:bookshelf_acacia:3, Акациевая книжная полка
chisel:bookshelf_acacia:4, Акациевая книжная полка
chisel:bookshelf_acacia:5, Акациевая книжная полка
chisel:bookshelf_acacia:6, Акациевая книжная полка
chisel:bookshelf_acacia:7, Акациевая книжная полка
chisel:bookshelf_acacia:8, Акациевая книжная полка
chisel:bookshelf_acacia:9, Акациевая книжная полка
chisel:bookshelf_darkoak:0, Dark Oak Bookshelf
chisel:bookshelf_darkoak:1, Dark Oak Bookshelf
chisel:bookshelf_darkoak:2, Dark Oak Bookshelf
chisel:bookshelf_darkoak:3, Dark Oak Bookshelf
chisel:bookshelf_darkoak:4, Dark Oak Bookshelf
chisel:bookshelf_darkoak:5, Dark Oak Bookshelf
chisel:bookshelf_darkoak:6, Dark Oak Bookshelf
chisel:bookshelf_darkoak:7, Dark Oak Bookshelf
chisel:bookshelf_darkoak:8, Dark Oak Bookshelf
chisel:bookshelf_darkoak:9, Dark Oak Bookshelf
chisel:bricks:0, Кирпичи
chisel:bricks:1, Кирпичи
chisel:bricks:2, Кирпичи
chisel:bricks:3, Кирпичи
chisel:bricks:4, Кирпичи
chisel:bricks:5, Кирпичи
chisel:bricks:6, Кирпичи
chisel:bricks:7, Кирпичи
chisel:bricks:8, Кирпичи
chisel:bricks:9, Кирпичи
chisel:bricks:10, Кирпичи
chisel:bricks:11, Кирпичи
chisel:bricks:12, Кирпичи
chisel:bricks:13, Кирпичи
chisel:bricks:14, Кирпичи
chisel:bricks:15, Кирпичи
chisel:bricks1:0, Кирпичи
chisel:bricks1:1, Кирпичи
chisel:bricks1:2, Кирпичи
chisel:bricks1:3, Кирпичи
chisel:bricks1:4, Кирпичи
chisel:bricks1:5, Кирпичи
chisel:bricks1:6, Кирпичи
chisel:bricks1:7, Кирпичи
chisel:bricks1:8, Кирпичи
chisel:bricks1:9, Кирпичи
chisel:bricks2:0, Кирпичи
chisel:bricks2:1, Кирпичи
chisel:bricks2:2, Кирпичи
chisel:bricks2:3, Кирпичи
chisel:bricks2:4, Кирпичи
chisel:bricks2:5, Кирпичи
chisel:blockbronze:0, Бронзовый блок
chisel:blockbronze:1, Бронзовый блок
chisel:blockbronze:2, Бронзовый блок
chisel:blockbronze:3, Бронзовый блок
chisel:blockbronze:4, Бронзовый блок
chisel:blockbronze:5, Бронзовый блок
chisel:blockbronze:6, Бронзовый блок
chisel:brownstone:0, Brownstone
chisel:brownstone:1, Brownstone
chisel:brownstone:2, Brownstone
chisel:brownstone:3, Brownstone
chisel:brownstone:4, Brownstone
chisel:brownstone:5, Brownstone
chisel:brownstone:6, Brownstone
chisel:brownstone:7, Brownstone
chisel:brownstone:8, Brownstone
chisel:brownstone:9, Brownstone
chisel:certus:0, Block of Certus Quartz
chisel:certus:1, Block of Certus Quartz
chisel:certus:2, Block of Certus Quartz
chisel:certus:3, Block of Certus Quartz
chisel:certus:4, Block of Certus Quartz
chisel:certus:5, Block of Certus Quartz
chisel:certus:6, Block of Certus Quartz
chisel:certus:7, Block of Certus Quartz
chisel:certus:8, Block of Certus Quartz
chisel:certus:9, Block of Certus Quartz
chisel:certus:10, Block of Certus Quartz
chisel:certus:11, Block of Certus Quartz
chisel:certus:12, Block of Certus Quartz
chisel:certus:13, Block of Certus Quartz
chisel:certus:14, Block of Certus Quartz
chisel:certus:15, Block of Certus Quartz
chisel:certus1:0, Block of Certus Quartz
chisel:certus1:1, Block of Certus Quartz
chisel:certus1:2, Block of Certus Quartz
chisel:certus1:3, Block of Certus Quartz
chisel:certus1:4, Block of Certus Quartz
chisel:certus1:5, Block of Certus Quartz
chisel:certus1:6, Block of Certus Quartz
chisel:certus1:7, Block of Certus Quartz
chisel:certus1:8, Block of Certus Quartz
chisel:certus1:9, Block of Certus Quartz
chisel:certus1:10, Block of Certus Quartz
chisel:certus1:11, Block of Certus Quartz
chisel:certus1:12, Block of Certus Quartz
chisel:certus1:13, Block of Certus Quartz
chisel:certus1:14, Block of Certus Quartz
chisel:certus1:15, Block of Certus Quartz
chisel:certus2:0, Block of Certus Quartz
chisel:certus2:1, Block of Certus Quartz
chisel:carpet_black:0, Black Carpet
chisel:carpet_black:1, Black Carpet
chisel:carpet_red:0, Red Carpet
chisel:carpet_red:1, Red Carpet
chisel:carpet_green:0, Green Carpet
chisel:carpet_green:1, Green Carpet
chisel:carpet_brown:0, Brown Carpet
chisel:carpet_brown:1, Brown Carpet
chisel:carpet_blue:0, Blue Carpet
chisel:carpet_blue:1, Blue Carpet
chisel:carpet_purple:0, Purple Carpet
chisel:carpet_purple:1, Purple Carpet
chisel:carpet_cyan:0, Cyan Carpet
chisel:carpet_cyan:1, Cyan Carpet
chisel:carpet_lightgray:0, Light Gray Carpet
chisel:carpet_lightgray:1, Light Gray Carpet
chisel:carpet_gray:0, Gray Carpet
chisel:carpet_gray:1, Gray Carpet
chisel:carpet_pink:0, Pink Carpet
chisel:carpet_pink:1, Pink Carpet
chisel:carpet_lime:0, Lime Carpet
chisel:carpet_lime:1, Lime Carpet
chisel:carpet_yellow:0, Yellow Carpet
chisel:carpet_yellow:1, Yellow Carpet
chisel:carpet_lightblue:0, Light Blue Carpet
chisel:carpet_lightblue:1, Light Blue Carpet
chisel:carpet_magenta:0, Magenta Carpet
chisel:carpet_magenta:1, Magenta Carpet
chisel:carpet_orange:0, Orange Carpet
chisel:carpet_orange:1, Orange Carpet
chisel:carpet_white:0, White Carpet
chisel:carpet_white:1, White Carpet
chisel:block_charcoal:0, Block of Charcoal
chisel:block_charcoal:1, Block of Charcoal
chisel:block_charcoal:2, Block of Charcoal
chisel:block_charcoal:3, Block of Charcoal
chisel:block_charcoal:4, Block of Charcoal
chisel:block_charcoal:5, Block of Charcoal
chisel:block_charcoal:6, Block of Charcoal
chisel:block_charcoal:7, Block of Charcoal
chisel:block_charcoal:8, Block of Charcoal
chisel:block_charcoal:9, Block of Charcoal
chisel:block_charcoal:10, Block of Charcoal
chisel:block_charcoal:11, Block of Charcoal
chisel:block_charcoal:12, Block of Charcoal
chisel:block_charcoal:13, Block of Charcoal
chisel:block_charcoal:14, Block of Charcoal
chisel:block_charcoal:15, Block of Charcoal
chisel:block_charcoal1:0, Block of Charcoal
chisel:block_charcoal1:1, Block of Charcoal
chisel:block_charcoal1:2, Block of Charcoal
chisel:block_charcoal1:3, Block of Charcoal
chisel:block_charcoal1:4, Block of Charcoal
chisel:block_charcoal1:5, Block of Charcoal
chisel:block_charcoal1:6, Block of Charcoal
chisel:block_charcoal1:7, Block of Charcoal
chisel:block_charcoal1:8, Block of Charcoal
chisel:block_charcoal1:9, Block of Charcoal
chisel:block_charcoal1:10, Block of Charcoal
chisel:block_charcoal1:11, Block of Charcoal
chisel:block_charcoal1:12, Block of Charcoal
chisel:block_charcoal1:13, Block of Charcoal
chisel:block_charcoal1:14, Block of Charcoal
chisel:block_charcoal1:15, Block of Charcoal
chisel:block_charcoal2:0, Block of Charcoal
chisel:block_charcoal2:1, Block of Charcoal
chisel:cloud:0, Облако
chisel:cloud:1, Облако
chisel:cloud:2, Облако
chisel:cloud:3, Облако
chisel:cloud:4, Облако
chisel:blockcobalt:0, Кобальтовый блок
chisel:blockcobalt:1, Кобальтовый блок
chisel:blockcobalt:2, Кобальтовый блок
chisel:blockcobalt:3, Кобальтовый блок
chisel:blockcobalt:4, Кобальтовый блок
chisel:blockcobalt:5, Кобальтовый блок
chisel:blockcobalt:6, Кобальтовый блок
chisel:cobblestone:0, Булыжник
chisel:cobblestone:1, Булыжник
chisel:cobblestone:2, Булыжник
chisel:cobblestone:3, Булыжник
chisel:cobblestone:4, Булыжник
chisel:cobblestone:5, Булыжник
chisel:cobblestone:6, Булыжник
chisel:cobblestone:7, Булыжник
chisel:cobblestone:8, Булыжник
chisel:cobblestone:9, Булыжник
chisel:cobblestone:10, Булыжник
chisel:cobblestone:11, Булыжник
chisel:cobblestone:12, Булыжник
chisel:cobblestone:13, Булыжник
chisel:cobblestone:14, Булыжник
chisel:cobblestone:15, Булыжник
chisel:cobblestone1:0, Булыжник
chisel:cobblestone1:1, Булыжник
chisel:cobblestone1:2, Булыжник
chisel:cobblestone1:3, Булыжник
chisel:cobblestone1:4, Булыжник
chisel:cobblestone1:5, Булыжник
chisel:cobblestone1:6, Булыжник
chisel:cobblestone1:7, Булыжник
chisel:cobblestone1:8, Булыжник
chisel:cobblestone1:9, Булыжник
chisel:cobblestone2:0, Булыжник
chisel:cobblestone2:1, Булыжник
chisel:cobblestone2:2, Булыжник
chisel:cobblestone2:3, Булыжник
chisel:cobblestone2:4, Булыжник
chisel:cobblestone2:5, Булыжник
chisel:cobblestone2:6, Булыжник
chisel:cobblestone2:7, Булыжник
chisel:cobblestone2:8, Булыжник
chisel:cobblestone2:9, Булыжник
chisel:block_coal:0, Block of Coal
chisel:block_coal:1, Block of Coal
chisel:block_coal:2, Block of Coal
chisel:block_coal:3, Block of Coal
chisel:block_coal:4, Block of Coal
chisel:block_coal:5, Block of Coal
chisel:block_coal:6, Block of Coal
chisel:block_coal:7, Block of Coal
chisel:block_coal:8, Block of Coal
chisel:block_coal:9, Block of Coal
chisel:block_coal:10, Block of Coal
chisel:block_coal:11, Block of Coal
chisel:block_coal:12, Block of Coal
chisel:block_coal:13, Block of Coal
chisel:block_coal:14, Block of Coal
chisel:block_coal:15, Block of Coal
chisel:block_coal1:0, Block of Coal
chisel:block_coal1:1, Block of Coal
chisel:block_coal1:2, Block of Coal
chisel:block_coal1:3, Block of Coal
chisel:block_coal1:4, Block of Coal
chisel:block_coal1:5, Block of Coal
chisel:block_coal1:6, Block of Coal
chisel:block_coal1:7, Block of Coal
chisel:block_coal1:8, Block of Coal
chisel:block_coal1:9, Block of Coal
chisel:block_coal1:10, Block of Coal
chisel:block_coal1:11, Block of Coal
chisel:block_coal1:12, Block of Coal
chisel:block_coal1:13, Block of Coal
chisel:block_coal1:14, Block of Coal
chisel:block_coal1:15, Block of Coal
chisel:block_coal2:0, Block of Coal
chisel:block_coal2:1, Block of Coal
chisel:block_coal_coke:0, Block of Coal Coke
chisel:block_coal_coke:1, Block of Coal Coke
chisel:block_coal_coke:2, Block of Coal Coke
chisel:block_coal_coke:3, Block of Coal Coke
chisel:block_coal_coke:4, Block of Coal Coke
chisel:block_coal_coke:5, Block of Coal Coke
chisel:block_coal_coke:6, Block of Coal Coke
chisel:block_coal_coke:7, Block of Coal Coke
chisel:block_coal_coke:8, Block of Coal Coke
chisel:block_coal_coke:9, Block of Coal Coke
chisel:block_coal_coke:10, Block of Coal Coke
chisel:block_coal_coke:11, Block of Coal Coke
chisel:block_coal_coke:12, Block of Coal Coke
chisel:block_coal_coke:13, Block of Coal Coke
chisel:block_coal_coke:14, Block of Coal Coke
chisel:block_coal_coke:15, Block of Coal Coke
chisel:block_coal_coke1:0, Block of Coal Coke
chisel:block_coal_coke1:1, Block of Coal Coke
chisel:block_coal_coke1:2, Block of Coal Coke
chisel:block_coal_coke1:3, Block of Coal Coke
chisel:block_coal_coke1:4, Block of Coal Coke
chisel:block_coal_coke1:5, Block of Coal Coke
chisel:block_coal_coke1:6, Block of Coal Coke
chisel:block_coal_coke1:7, Block of Coal Coke
chisel:block_coal_coke1:8, Block of Coal Coke
chisel:block_coal_coke1:9, Block of Coal Coke
chisel:block_coal_coke1:10, Block of Coal Coke
chisel:block_coal_coke1:11, Block of Coal Coke
chisel:block_coal_coke1:12, Block of Coal Coke
chisel:block_coal_coke1:13, Block of Coal Coke
chisel:block_coal_coke1:14, Block of Coal Coke
chisel:block_coal_coke1:15, Block of Coal Coke
chisel:block_coal_coke2:0, Block of Coal Coke
chisel:block_coal_coke2:1, Block of Coal Coke
chisel:cobblestonemossy:0, Замшелый булыжник
chisel:cobblestonemossy:1, Замшелый булыжник
chisel:cobblestonemossy:2, Замшелый булыжник
chisel:cobblestonemossy:3, Замшелый булыжник
chisel:cobblestonemossy:4, Замшелый булыжник
chisel:cobblestonemossy:5, Замшелый булыжник
chisel:cobblestonemossy:6, Замшелый булыжник
chisel:cobblestonemossy:7, Замшелый булыжник
chisel:cobblestonemossy:8, Замшелый булыжник
chisel:cobblestonemossy:9, Замшелый булыжник
chisel:cobblestonemossy:10, Замшелый булыжник
chisel:cobblestonemossy:11, Замшелый булыжник
chisel:cobblestonemossy:12, Замшелый булыжник
chisel:cobblestonemossy:13, Замшелый булыжник
chisel:cobblestonemossy:14, Замшелый булыжник
chisel:cobblestonemossy:15, Замшелый булыжник
chisel:cobblestonemossy1:0, Замшелый булыжник
chisel:cobblestonemossy1:1, Замшелый булыжник
chisel:cobblestonemossy1:2, Замшелый булыжник
chisel:cobblestonemossy1:3, Замшелый булыжник
chisel:cobblestonemossy1:4, Замшелый булыжник
chisel:cobblestonemossy1:5, Замшелый булыжник
chisel:cobblestonemossy1:6, Замшелый булыжник
chisel:cobblestonemossy1:7, Замшелый булыжник
chisel:cobblestonemossy1:8, Замшелый булыжник
chisel:cobblestonemossy1:9, Замшелый булыжник
chisel:cobblestonemossy1:10, Замшелый булыжник
chisel:cobblestonemossy1:11, Замшелый булыжник
chisel:cobblestonemossy1:12, Замшелый булыжник
chisel:cobblestonemossy1:13, Замшелый булыжник
chisel:cobblestonemossy1:14, Замшелый булыжник
chisel:cobblestonemossy1:15, Замшелый булыжник
chisel:cobblestonemossy2:0, Замшелый булыжник
chisel:concrete_black:0, Black Concrete
chisel:concrete_black:1, Black Concrete
chisel:concrete_black:2, Black Concrete
chisel:concrete_black:3, Black Concrete
chisel:concrete_black:4, Black Concrete
chisel:concrete_black:5, Black Concrete
chisel:concrete_black:6, Black Concrete
chisel:concrete_black:7, Black Concrete
chisel:concrete_black:8, Black Concrete
chisel:concrete_black:9, Black Concrete
chisel:concrete_black:10, Black Concrete
chisel:concrete_black:11, Black Concrete
chisel:concrete_black:12, Black Concrete
chisel:concrete_black:13, Black Concrete
chisel:concrete_black:14, Black Concrete
chisel:concrete_black:15, Black Concrete
chisel:concrete_black1:0, Black Concrete
chisel:concrete_black1:1, Black Concrete
chisel:concrete_black1:2, Black Concrete
chisel:concrete_black1:3, Black Concrete
chisel:concrete_black1:4, Black Concrete
chisel:concrete_black1:5, Black Concrete
chisel:concrete_black1:6, Black Concrete
chisel:concrete_black1:7, Black Concrete
chisel:concrete_black1:8, Black Concrete
chisel:concrete_black1:9, Black Concrete
chisel:concrete_black1:10, Black Concrete
chisel:concrete_black1:11, Black Concrete
chisel:concrete_black1:12, Black Concrete
chisel:concrete_black1:13, Black Concrete
chisel:concrete_black1:14, Black Concrete
chisel:concrete_black1:15, Black Concrete
chisel:concrete_black2:0, Black Concrete
chisel:concrete_red:0, Red Concrete
chisel:concrete_red:1, Red Concrete
chisel:concrete_red:2, Red Concrete
chisel:concrete_red:3, Red Concrete
chisel:concrete_red:4, Red Concrete
chisel:concrete_red:5, Red Concrete
chisel:concrete_red:6, Red Concrete
chisel:concrete_red:7, Red Concrete
chisel:concrete_red:8, Red Concrete
chisel:concrete_red:9, Red Concrete
chisel:concrete_red:10, Red Concrete
chisel:concrete_red:11, Red Concrete
chisel:concrete_red:12, Red Concrete
chisel:concrete_red:13, Red Concrete
chisel:concrete_red:14, Red Concrete
chisel:concrete_red:15, Red Concrete
chisel:concrete_red1:0, Red Concrete
chisel:concrete_red1:1, Red Concrete
chisel:concrete_red1:2, Red Concrete
chisel:concrete_red1:3, Red Concrete
chisel:concrete_red1:4, Red Concrete
chisel:concrete_red1:5, Red Concrete
chisel:concrete_red1:6, Red Concrete
chisel:concrete_red1:7, Red Concrete
chisel:concrete_red1:8, Red Concrete
chisel:concrete_red1:9, Red Concrete
chisel:concrete_red1:10, Red Concrete
chisel:concrete_red1:11, Red Concrete
chisel:concrete_red1:12, Red Concrete
chisel:concrete_red1:13, Red Concrete
chisel:concrete_red1:14, Red Concrete
chisel:concrete_red1:15, Red Concrete
chisel:concrete_red2:0, Red Concrete
chisel:concrete_green:0, Green Concrete
chisel:concrete_green:1, Green Concrete
chisel:concrete_green:2, Green Concrete
chisel:concrete_green:3, Green Concrete
chisel:concrete_green:4, Green Concrete
chisel:concrete_green:5, Green Concrete
chisel:concrete_green:6, Green Concrete
chisel:concrete_green:7, Green Concrete
chisel:concrete_green:8, Green Concrete
chisel:concrete_green:9, Green Concrete
chisel:concrete_green:10, Green Concrete
chisel:concrete_green:11, Green Concrete
chisel:concrete_green:12, Green Concrete
chisel:concrete_green:13, Green Concrete
chisel:concrete_green:14, Green Concrete
chisel:concrete_green:15, Green Concrete
chisel:concrete_green1:0, Green Concrete
chisel:concrete_green1:1, Green Concrete
chisel:concrete_green1:2, Green Concrete
chisel:concrete_green1:3, Green Concrete
chisel:concrete_green1:4, Green Concrete
chisel:concrete_green1:5, Green Concrete
chisel:concrete_green1:6, Green Concrete
chisel:concrete_green1:7, Green Concrete
chisel:concrete_green1:8, Green Concrete
chisel:concrete_green1:9, Green Concrete
chisel:concrete_green1:10, Green Concrete
chisel:concrete_green1:11, Green Concrete
chisel:concrete_green1:12, Green Concrete
chisel:concrete_green1:13, Green Concrete
chisel:concrete_green1:14, Green Concrete
chisel:concrete_green1:15, Green Concrete
chisel:concrete_green2:0, Green Concrete
chisel:concrete_brown:0, Brown Concrete
chisel:concrete_brown:1, Brown Concrete
chisel:concrete_brown:2, Brown Concrete
chisel:concrete_brown:3, Brown Concrete
chisel:concrete_brown:4, Brown Concrete
chisel:concrete_brown:5, Brown Concrete
chisel:concrete_brown:6, Brown Concrete
chisel:concrete_brown:7, Brown Concrete
chisel:concrete_brown:8, Brown Concrete
chisel:concrete_brown:9, Brown Concrete
chisel:concrete_brown:10, Brown Concrete
chisel:concrete_brown:11, Brown Concrete
chisel:concrete_brown:12, Brown Concrete
chisel:concrete_brown:13, Brown Concrete
chisel:concrete_brown:14, Brown Concrete
chisel:concrete_brown:15, Brown Concrete
chisel:concrete_brown1:0, Brown Concrete
chisel:concrete_brown1:1, Brown Concrete
chisel:concrete_brown1:2, Brown Concrete
chisel:concrete_brown1:3, Brown Concrete
chisel:concrete_brown1:4, Brown Concrete
chisel:concrete_brown1:5, Brown Concrete
chisel:concrete_brown1:6, Brown Concrete
chisel:concrete_brown1:7, Brown Concrete
chisel:concrete_brown1:8, Brown Concrete
chisel:concrete_brown1:9, Brown Concrete
chisel:concrete_brown1:10, Brown Concrete
chisel:concrete_brown1:11, Brown Concrete
chisel:concrete_brown1:12, Brown Concrete
chisel:concrete_brown1:13, Brown Concrete
chisel:concrete_brown1:14, Brown Concrete
chisel:concrete_brown1:15, Brown Concrete
chisel:concrete_brown2:0, Brown Concrete
chisel:concrete_blue:0, Blue Concrete
chisel:concrete_blue:1, Blue Concrete
chisel:concrete_blue:2, Blue Concrete
chisel:concrete_blue:3, Blue Concrete
chisel:concrete_blue:4, Blue Concrete
chisel:concrete_blue:5, Blue Concrete
chisel:concrete_blue:6, Blue Concrete
chisel:concrete_blue:7, Blue Concrete
chisel:concrete_blue:8, Blue Concrete
chisel:concrete_blue:9, Blue Concrete
chisel:concrete_blue:10, Blue Concrete
chisel:concrete_blue:11, Blue Concrete
chisel:concrete_blue:12, Blue Concrete
chisel:concrete_blue:13, Blue Concrete
chisel:concrete_blue:14, Blue Concrete
chisel:concrete_blue:15, Blue Concrete
chisel:concrete_blue1:0, Blue Concrete
chisel:concrete_blue1:1, Blue Concrete
chisel:concrete_blue1:2, Blue Concrete
chisel:concrete_blue1:3, Blue Concrete
chisel:concrete_blue1:4, Blue Concrete
chisel:concrete_blue1:5, Blue Concrete
chisel:concrete_blue1:6, Blue Concrete
chisel:concrete_blue1:7, Blue Concrete
chisel:concrete_blue1:8, Blue Concrete
chisel:concrete_blue1:9, Blue Concrete
chisel:concrete_blue1:10, Blue Concrete
chisel:concrete_blue1:11, Blue Concrete
chisel:concrete_blue1:12, Blue Concrete
chisel:concrete_blue1:13, Blue Concrete
chisel:concrete_blue1:14, Blue Concrete
chisel:concrete_blue1:15, Blue Concrete
chisel:concrete_blue2:0, Blue Concrete
chisel:concrete_purple:0, Purple Concrete
chisel:concrete_purple:1, Purple Concrete
chisel:concrete_purple:2, Purple Concrete
chisel:concrete_purple:3, Purple Concrete
chisel:concrete_purple:4, Purple Concrete
chisel:concrete_purple:5, Purple Concrete
chisel:concrete_purple:6, Purple Concrete
chisel:concrete_purple:7, Purple Concrete
chisel:concrete_purple:8, Purple Concrete
chisel:concrete_purple:9, Purple Concrete
chisel:concrete_purple:10, Purple Concrete
chisel:concrete_purple:11, Purple Concrete
chisel:concrete_purple:12, Purple Concrete
chisel:concrete_purple:13, Purple Concrete
chisel:concrete_purple:14, Purple Concrete
chisel:concrete_purple:15, Purple Concrete
chisel:concrete_purple1:0, Purple Concrete
chisel:concrete_purple1:1, Purple Concrete
chisel:concrete_purple1:2, Purple Concrete
chisel:concrete_purple1:3, Purple Concrete
chisel:concrete_purple1:4, Purple Concrete
chisel:concrete_purple1:5, Purple Concrete
chisel:concrete_purple1:6, Purple Concrete
chisel:concrete_purple1:7, Purple Concrete
chisel:concrete_purple1:8, Purple Concrete
chisel:concrete_purple1:9, Purple Concrete
chisel:concrete_purple1:10, Purple Concrete
chisel:concrete_purple1:11, Purple Concrete
chisel:concrete_purple1:12, Purple Concrete
chisel:concrete_purple1:13, Purple Concrete
chisel:concrete_purple1:14, Purple Concrete
chisel:concrete_purple1:15, Purple Concrete
chisel:concrete_purple2:0, Purple Concrete
chisel:concrete_cyan:0, Cyan Concrete
chisel:concrete_cyan:1, Cyan Concrete
chisel:concrete_cyan:2, Cyan Concrete
chisel:concrete_cyan:3, Cyan Concrete
chisel:concrete_cyan:4, Cyan Concrete
chisel:concrete_cyan:5, Cyan Concrete
chisel:concrete_cyan:6, Cyan Concrete
chisel:concrete_cyan:7, Cyan Concrete
chisel:concrete_cyan:8, Cyan Concrete
chisel:concrete_cyan:9, Cyan Concrete
chisel:concrete_cyan:10, Cyan Concrete
chisel:concrete_cyan:11, Cyan Concrete
chisel:concrete_cyan:12, Cyan Concrete
chisel:concrete_cyan:13, Cyan Concrete
chisel:concrete_cyan:14, Cyan Concrete
chisel:concrete_cyan:15, Cyan Concrete
chisel:concrete_cyan1:0, Cyan Concrete
chisel:concrete_cyan1:1, Cyan Concrete
chisel:concrete_cyan1:2, Cyan Concrete
chisel:concrete_cyan1:3, Cyan Concrete
chisel:concrete_cyan1:4, Cyan Concrete
chisel:concrete_cyan1:5, Cyan Concrete
chisel:concrete_cyan1:6, Cyan Concrete
